threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.1,105,0,0,99,1.0,1.0,1.0,1.0,n
0.15000000000000002,105,0,0,99,1.0,1.0,1.0,1.0,n
0.20000000000000004,105,0,0,99,1.0,1.0,1.0,1.0,n
0.25000000000000006,105,0,0,99,1.0,1.0,1.0,1.0,n
0.30000000000000004,105,0,0,99,1.0,1.0,1.0,1.0,n
0.3500000000000001,105,0,0,99,1.0,1.0,1.0,1.0,n
0.40000000000000013,105,0,0,99,1.0,1.0,1.0,1.0,n
0.45000000000000007,105,0,0,99,1.0,1.0,1.0,1.0,n
0.5000000000000001,105,0,0,99,1.0,1.0,1.0,1.0,n
0.5500000000000002,104,1,0,99,1.0,0.9904761904761905,0.9952153110047847,0.9950980392156863,n
0.6000000000000002,104,1,0,99,1.0,0.9904761904761905,0.9952153110047847,0.9950980392156863,n
0.6500000000000001,100,5,0,99,1.0,0.9523809523809523,0.975609756097561,0.9754901960784313,n
0.7000000000000002,100,5,0,99,1.0,0.9523809523809523,0.975609756097561,0.9754901960784313,n
0.7500000000000002,100,5,0,99,1.0,0.9523809523809523,0.975609756097561,0.9754901960784313,n
0.8000000000000002,95,10,0,99,1.0,0.9047619047619048,0.9500000000000001,0.9509803921568627,n
0.8500000000000002,92,13,0,99,1.0,0.8761904761904762,0.934010152284264,0.9362745098039216,n
0.9000000000000002,91,14,0,99,1.0,0.8666666666666667,0.9285714285714286,0.9313725490196079,n
0.9500000000000003,67,38,0,99,1.0,0.638095238095238,0.7790697674418604,0.8137254901960784,n
0.1,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.15000000000000002,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.20000000000000004,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.25000000000000006,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.30000000000000004,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.3500000000000001,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.40000000000000013,89,1,2,110,0.978021978021978,0.9888888888888889,0.9834254143646408,0.9851485148514851,o
0.45000000000000007,88,2,2,110,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9801980198019802,o
0.5000000000000001,88,2,2,110,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9801980198019802,o
0.5500000000000002,87,3,1,111,0.9886363636363636,0.9666666666666667,0.9775280898876404,0.9801980198019802,o
0.6000000000000002,87,3,1,111,0.9886363636363636,0.9666666666666667,0.9775280898876404,0.9801980198019802,o
0.6500000000000001,87,3,0,112,1.0,0.9666666666666667,0.983050847457627,0.9851485148514851,o
0.7000000000000002,86,4,0,112,1.0,0.9555555555555556,0.9772727272727273,0.9801980198019802,o
0.7500000000000002,85,5,0,112,1.0,0.9444444444444444,0.9714285714285714,0.9752475247524752,o
0.8000000000000002,77,13,0,112,1.0,0.8555555555555555,0.9221556886227544,0.9356435643564357,o
0.8500000000000002,71,19,0,112,1.0,0.7888888888888889,0.8819875776397516,0.905940594059406,o
0.9000000000000002,61,29,0,112,1.0,0.6777777777777778,0.8079470198675497,0.8564356435643564,o
0.9500000000000003,40,50,0,112,1.0,0.4444444444444444,0.6153846153846153,0.7524752475247525,o
0.1,298,3,110,71,0.7303921568627451,0.9900332225913622,0.840620592383639,0.7655601659751037,p
0.15000000000000002,298,3,110,71,0.7303921568627451,0.9900332225913622,0.840620592383639,0.7655601659751037,p
0.20000000000000004,298,3,110,71,0.7303921568627451,0.9900332225913622,0.840620592383639,0.7655601659751037,p
0.25000000000000006,298,3,110,71,0.7303921568627451,0.9900332225913622,0.840620592383639,0.7655601659751037,p
0.30000000000000004,298,3,110,71,0.7303921568627451,0.9900332225913622,0.840620592383639,0.7655601659751037,p
0.3500000000000001,297,4,109,72,0.7315270935960592,0.9867109634551495,0.8401697312588402,0.7655601659751037,p
0.40000000000000013,297,4,107,74,0.7351485148514851,0.9867109634551495,0.8425531914893617,0.7697095435684648,p
0.45000000000000007,295,6,104,77,0.7393483709273183,0.9800664451827242,0.8428571428571427,0.7717842323651453,p
